lat,lon,Enb.avg_income,Enb.woz,Enbp.high_education,Enbp.independent,Enbp.low_education,Enbp.unemployed,Gcb.buurt,Gcb.buurtcode,Inp.Grey,Pnb.cohesion,Pnb.diversity,Pnb.good_life,Pnb.pop,Pnbp.complains_aq,Pnbp.complains_noise,Pnbp.feels_unsafe,Pnbp.mostly_by_car,Pnbp.mostly_walking,Pnbp.unhappy,Vc.milieuzone,Vc.mode_species,Vc.mode_tree_species,Vn.PM10_avg_2020,Vn.PM10_avg_2021,Vn.PM10_avg_2022,Vn.med_tree_height,Vn.number_species,Vn.number_tree_species,Vn.number_trees,Vn.prec_ann,Vn.tavg_ann,Vnp.Green
51416,5453,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.7603302403816514,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Es,,,,10.5,,10.0,31.0,64.5,9.945994059244791,0.6341001979600515
51416,5454,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.6723978650907765,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Zuilhaagbeuk,,,,13.5,,8.0,28.0,64.5,9.945994059244791,0.7322616129195487
51416,5455,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.4998582718212099,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,ALLIARIA PETIOLATA,Zwarte linde,,,,13.5,1.0,10.0,16.0,64.5,9.945994059244791,0.6824550341540185
51416,5456,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.45748385034518757,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Zomereik,,,,13.5,,10.0,30.0,,,0.8507359879407176
51416,5457,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.4674101525425857,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,ALLIUM URSINUM,Es,,,,16.5,1.0,8.0,21.0,64.5,9.945994059244791,0.7471735940781207
51416,5458,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.6105772515657364,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,ALLIARIA PETIOLATA,Es,,,,13.5,1.0,8.0,18.0,64.5,9.945994059244791,0.4830505487322357
51416,5459,34.7,224.0,41.4,66.2,27.5,9.0,Bennekel-Oost,724,0.4811348242266389,5.3,0.72,6.9,46.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Gewone plataan,,,,16.5,,11.0,23.0,64.5,9.945994059244791,0.8070971053858725
51416,5460,34.7,224.0,41.4,66.2,27.5,9.0,Bennekel-Oost,724,0.4561585794603507,5.3,0.72,6.9,46.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Es,,,,13.5,,10.0,44.0,64.5,9.945994059244791,0.8022654437070296
51416,5461,34.7,224.0,41.4,66.2,27.5,9.0,Bennekel-Oost,724,0.48458668411026407,5.3,0.72,6.9,46.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Es,,,,16.5,,14.0,37.0,64.5,9.945994059244791,0.9075948632435187
51416,5462,34.7,224.0,41.4,66.2,27.5,9.0,Bennekel-Oost,724,0.347092693502341,5.3,0.72,6.9,46.0,21.0,49.0,21.0,60.0,18.0,9.0,0,EPILOBIUM HIRSUTUM,Gewone es cv,,,,21.0,3.0,9.0,22.0,64.5,9.945994059244791,0.95
